name	inchi	inchikey	file_to_add	filename	all_names	in_sink	source	compound
(Z)-biformene	InChI=1S/C20H32/c1-7-15(2)9-11-17-16(3)10-12-18-19(4,5)13-8-14-20(17,18)6/h7,9,17-18H,1,3,8,10-14H2,2,4-6H3/b15-9-/t17-,18-,20+/m1/s1	VJVMMXUPZGOBSN-ZMYBETPQSA-N		Z-biformene	['(Z)-biformene']	False	LASER	Z-biformene
xylitol	InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4+,5+	HEBKCHPVOIAQTA-SCDXWVJYSA-N		xylitol	['xylitol']	False	LASER	xylitol
violacein	InChI=1S/C20H13N3O3/c24-10-5-6-15-12(7-10)14(9-21-15)17-8-13(19(25)23-17)18-11-3-1-2-4-16(11)22-20(18)26/h1-9,21,24H,(H,22,26)(H,23,25)/b18-13+	XAPNKXIRQFHCHN-QGOAFFKASA-N		violacein	['violacein']	False	LASER	violacein
vanillin	InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3	MWOOGOJBHIARFG-UHFFFAOYSA-N		vanillin	['vanillin']	False	LASER	vanillin
(+)-valencene	InChI=1S/C15H24/c1-11(2)13-8-9-14-7-5-6-12(3)15(14,4)10-13/h7,12-13H,1,5-6,8-10H2,2-4H3/t12-,13-,15+/m1/s1	QEBNYNLSCGVZOH-NFAWXSAZSA-N		valencene	['(+)-valencene']	False	LASER	valencene
triacetate lactone	InChI=1S/C6H6O3/c1-4-2-5(7)3-6(8)9-4/h2-3,7H,1H3/p-1	NSYSSMYQPLSPOD-UHFFFAOYSA-M		triacetate_lactone	['triacetate lactone']	False	LASER	triacetate_lactone
trans-resveratrol	InChI=1S/C14H12O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h1-9,15-17H/b2-1+	LUKBXSAWLPMMSZ-OWOJBTEDSA-N		trans-resveratrol	['trans-resveratrol']	False	LASER	trans-resveratrol
trans-caffeate	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/p-1/b4-2+	QAIPRVGONGVQAS-DUXPYHPUSA-M		trans-caffeate	['trans-caffeate']	False	LASER	trans-caffeate
taxa-4,11-diene	InChI=1S/C20H32/c1-14-7-6-11-20(5)12-10-17-15(2)8-9-16(13-18(14)20)19(17,3)4/h7,16,18H,6,8-13H2,1-5H3/t16-,18+,20-/m0/s1	FRJSECSOXKQMOD-HQRMLTQVSA-N		taxa-411-diene	['taxa-4,11-diene']	False	LASER	taxa-411-diene
succinate	InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)/p-2	KDYFGRWQOYBRFD-UHFFFAOYSA-L		succinate	['succinate']	True	LASER	succinate
