molecule_label,cleaned_SMILES
Retro190_target_1,CC(c1ccccc1)N1CC2(C(=O)OC(C)(C)C)C=CCC2C1=S
Retro190_target_2,CCCCC(C(=O)N1CCCC1C(=O)O)C(F)C(=O)OC
Retro190_target_3,CC(C)c1ccc(-n2nc(O)c3c(=O)c4ccc(Cl)cc4[nH]c3c2=O)cc1
Retro190_target_4,CCOC(=O)c1nc(N2CCC(NC(=O)c3nc(C(F)(F)F)c(CC)[nH]3)C(OC)C2)sc1C
Retro190_target_5,NC1=NC2(c3ccc(F)cc3F)COC(c3nnco3)CC2CS1
Retro190_target_6,COc1ccc2c(Nc3c(Cl)cncc3Cl)cc(=O)[nH]c2c1OCCCCCCN1CCCNCC1
Retro190_target_7,COCCCc1cc(CN(C(=O)C2CN(C(=O)OC(C)(C)C)CCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCc2ccc(C#N)cc2)c1
Retro190_target_8,O=C(OCc1ccccc1)N1CCC2CCCN(CCc3ccccc3)CC21
Retro190_target_9,NC1CCC1c1ccc(Cl)cc1
Retro190_target_10,CCc1nc(C)c(C(=O)Nc2ccc(-c3ccc(C45CCC(CC(=O)OC)(CC4)OC5)cc3)cc2)o1
Retro190_target_11,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)C(CBr)=CSC12
Retro190_target_12,O=[N+]([O-])c1ccc(OC2(S(=O)(=O)c3ccccc3)CC2)nc1Cl
Retro190_target_13,CCCN(CCC)Cc1cc(CO)c(=O)n2c(-c3c(C)cc(C)cc3C)cccc12
Retro190_target_14,CN=C(C)C1=C(O)C=C2Oc3c(C(=O)NCc4c(C)ccc5ccccc45)c(OC)cc(O)c3C2(C)C1=O
Retro190_target_15,CCOC(=O)c1cc2c(F)cccc2nc1C(C)NC(=O)OC(C)(C)C
Retro190_target_16,COc1ccc2nc(-c3ccc(OC)c(F)c3)nc(C(=O)NC(CO)Cc3c[nH]c4cccnc34)c2c1
Retro190_target_17,COC(=O)CC12CCC(c3ccc(Br)cc3)(CC1)CO2
Retro190_target_18,C#CC1(O)C(C)=CC2(CC1(C)C(F)(F)F)OC(C)C(C)O2
Retro190_target_19,CCCC=CC1CCC(C(C(=O)O)C(=O)O)CC1
Retro190_target_20,CC(C)(C)OC(=O)NC1(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)COC(C)(C)OC1
Retro190_target_21,C[Si](C)(C)CCOCn1cc(C2CCc3c(C(=O)O)nn(COCC[Si](C)(C)C)c3C2)cn1
Retro190_target_22,COCCCc1cc(CN(C(=O)C2CNCCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCOC)c1
Retro190_target_23,CC(C)c1ccc2c(c1)OC1(O)c3ccccc3C(=O)C21NC(=O)c1cc(-c2ccccc2)n[nH]1
Retro190_target_24,COCCCc1cc(CN(C(=O)C2CN(C(=O)OC(C)(C)C)CCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC2(CC(=O)O)CC2)c1
Retro190_target_25,COCC(C)COCc1ccc(C2(O)CCN(C(=O)OC(C)(C)C)CC2c2noc(-c3ccccc3CCNC(C)=O)c2Br)cc1
Retro190_target_26,CC1(C)Oc2ccc(CC(=O)NC3CCCc4ccccc43)cc2C(N)C1O
Retro190_target_27,O=C(Nc1cccc(Cl)c1)N1CCc2[nH]nc(C(=O)N3CC(F)CO3)c2C1
Retro190_target_28,CC(O)CC1OCC(C2CCCCC2)N(c2cc(C#CC(C)(C)C)sc2C(=O)O)C1=O
Retro190_target_29,FC(F)(F)Cn1ncnc1-c1cc2n(n1)-c1cc(C3CCNCC3)ccc1OCC2
Retro190_target_30,CC1(F)CC(F)(F)C(C)(c2cc(N)ccc2F)N=C1N
Retro190_target_31,COc1ccc2nccc(C(N)CCC3CCN(CCSc4cccs4)CC3C(=O)O)c2c1
Retro190_target_32,N#Cc1cc(F)cc(C2CC(F)CN2c2ccn3ncc(C(N)=O)c3c2)c1
Retro190_target_33,CCN1CCN(CCCCCCOc2c(OC)ccc3c(Nc4c(Cl)cncc4Cl)cc(=O)[nH]c23)CC1
Retro190_target_34,CC(=O)Nc1nc2c(s1)-c1c(c(C3CC3)nn1C1CCN(C(=O)N3CCN(C(C)C)CC3)CC1)CC2
Retro190_target_35,CC(C)(C)OC(=O)NC1c2cccnc2C(N)CCC1c1cccc(F)c1F
Retro190_target_36,COc1cc2c(=O)[nH]c(=O)n(C3OC(CO)C4OC(C)(C)OC43)c2cc1OC
Retro190_target_37,Cc1cc(Nc2nccc(C(F)(F)F)n2)cc(-c2cnc(C(C)(O)C3CCC(C(=O)O)CC3)s2)c1
Retro190_target_38,CC(C)(C)OC(=O)NC1c2cccnc2C(=O)CCC1c1cccc(F)c1F
Retro190_target_39,CC(C)S(=O)(=O)NC1CCOCC1c1ccc(-c2ccc(C#N)s2)cc1
Retro190_target_40,COc1cc2ncc3c(N)nc(-c4cncc(OCCNCc5ccc(F)cc5)c4)cc3c2cc1OC
Retro190_target_41,COCCCc1cc(CN(C(=O)C2CN(C(=O)OC(C)(C)C)CCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCOC)c1
Retro190_target_42,CN1CCN(c2ccc3c(c2)[nH]c2c(C(N)=O)cc(-c4ccc(O)c(Cl)c4)nc23)CC1
Retro190_target_43,Cn1nccc1C1(O)CCCCC1O
Retro190_target_44,COCCCc1cc(CN(C(=O)C2CNCCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1
Retro190_target_45,COc1ccc2c(Nc3c(Cl)cncc3Cl)cc(=O)[nH]c2c1OCCCCCCN1CCCN(C)CC1
Retro190_target_46,COCC(C)COCc1ccc(C2(O)CCN(C(=O)OC(C)(C)C)CC2C=NO)cc1
Retro190_target_47,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccc(C(F)(F)F)cc4)oc23)C1CO
Retro190_target_48,CC(c1ccccc1)N1CC2(C(=O)OC(C)(C)C)C=CCC2C1=O
Retro190_target_49,Cn1oc(=O)nc1C(=NOCc1cccc(NC(=O)OCCc2ccccc2)n1)c1ccccc1
Retro190_target_50,COc1ccccc1CC(CC(O[Si](C)(C)C(C)(C)C)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)O
Retro190_target_51,CCCC(CCO)Nc1nc(N)nc(C)c1Cc1ccc(CN2CCCC2C(=O)O)cc1OC
Retro190_target_52,CCc1[nH]c(C(=O)NC2CCN(c3cccc(C(=O)O)c3)CC2OC)nc1C(F)(F)F
Retro190_target_53,O=C(Nc1ccc(-c2cnc(C34CC5CC(CC(C(=O)O)(C5)C3)C4)s2)cc1)Nc1ccccc1F
Retro190_target_54,COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)Nc3ccon3)ccc12
Retro190_target_55,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c(C2(C)N=C(N)C(C)(F)CC2(F)F)c1
Retro190_target_56,Cc1ccc(C(C)(C)C)cc1SC1OC(CO)C(O)C(O)C1O
Retro190_target_57,Oc1ccc2c3c(ccc2c1)Cc1ccccc1OC3c1ccc(OCCN2CCCCC2)cc1
Retro190_target_58,CC(n1ncn(-c2ccc(Cl)cc2)c1=O)C1(c2ccc(F)cc2F)CO1
Retro190_target_59,CCCc1c(Cc2ccc(-c3ccccc3C#N)cc2F)c(=O)n(C2CCC(OCC3(C(C)=O)CCC3)CC2)c2ncnn12
Retro190_target_60,CS(=O)(=O)CCN1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1
Retro190_target_61,CC(C)(CO)n1c(CO)nc2cnc(Br)cc21
Retro190_target_62,COCCCc1cc(O)cc(CN(C(=O)C2CN(C(=O)OC(C)(C)C)CCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1
Retro190_target_63,CC(C)N1CCC(Oc2ccc3c(c2)cc2n3C(C)CN(CCO)C2=O)CC1
Retro190_target_64,COCCCc1cc(CN(C(=O)C2CN(C(=O)OC(C)(C)C)CCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC2CC2C(=O)OCC(=O)N(C)C)c1
Retro190_target_65,CC(=O)NCC1CN(c2ccc3c(c2)CCCc2c(C(C)C)n[nH]c2-3)C(=O)O1
Retro190_target_66,COCC(C)COCc1ccc(C2(O)CCN(C(=O)OC(C)(C)C)CC2CO)cc1
Retro190_target_67,O=C1C=C(N2CCNCC2)C(C2CCCCC2)CC1
Retro190_target_68,C[Si](C)(C)CCOCn1c(OC2COC3C(O)COC23)nc2cc(Cl)c(-c3ccc(-c4ccc(N=S(C)(=O)N5CCCC5)cc4)cc3)nc21
Retro190_target_69,CC=Cc1c(N)nc(-c2ccc(Cl)c(OC)c2F)nc1C(=O)OC
Retro190_target_70,COCCCc1cc(CN(C(=O)C2CN(C(=O)OC(C)(C)C)CCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCc2ccc(-c3nnn[nH]3)cc2)c1
Retro190_target_71,CCC(OC(=O)c1ccccc1)C1CCCN(C(=O)OC(C)(C)C)C1
Retro190_target_72,ClCc1ccc2c(c1)Nc1nccnc1S2
Retro190_target_73,CC(=O)NCC1CCC(C(=O)Nc2cccc(OC(F)(F)F)c2)N1
Retro190_target_74,COC(=O)C1CN(C(=O)OC(C)(C)C)CCC1c1ccc(OCCOc2c(Cl)cc(C)cc2Cl)cc1
Retro190_target_75,CN(C1CC1)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C
Retro190_target_76,Nc1ncnc2c1c(-c1ccc3ccc(-c4ccccc4)nc3c1)cn2C1CCC1
Retro190_target_77,CC(=O)OCc1nc2cnc(Br)cc2n1C(C)(C)COC(C)=O
Retro190_target_78,CCOC(=O)C(N)=NNc1cc(Cl)ccc1[N+](=O)[O-]
Retro190_target_79,C=C(CC(Cc1ccc(-c2ccccc2)cc1)NC(=O)OC(C)(C)C)C(=O)OC
Retro190_target_80,COCC(C)COCc1ccc(C2(O)CCN(C(=O)OC(C)(C)C)CC2C=O)cc1
Retro190_target_81,O=S(=O)(C#Cc1ccc(Cl)cc1)N1CCNCC1
Retro190_target_82,OCC1OC(O)(c2ccc(Cl)c(Cc3ccc(C#Cc4cnccn4)cc3)c2)C(O)C(O)C1O
Retro190_target_83,OC1CC(c2cnn3c(NC4CCc5ccccc54)ncnc23)C=C1COCc1ccccc1
Retro190_target_84,CC(n1ccn(-c2ccc(Cl)cc2)c1=O)C1(c2ccc(F)cc2F)CO1
Retro190_target_85,CN(C)CC(OCC1(c2ccc(F)cc2)CCN(C(=O)OC(C)(C)C)CC1)c1cc(Cl)cc2cn(COCC[Si](C)(C)C)nc12
Retro190_target_86,CC(=O)N1c2ccc(N3CCNCC3)nc2C(Nc2ccccc2)C(C)C1C1CC1
Retro190_target_87,COC(=O)c1ccc2c(c1)C=CC(=CCl)CO2
Retro190_target_88,CCOP(=O)(Cc1ccc(Nc2ncc(C(F)(F)F)c(Nc3ccc(C4CCC(N5CCN(C)CC5)CC4)c4c3C(=O)N(C)C4)n2)c(OC)c1)OCC
Retro190_target_89,CCCC[Sn](C=CC1(O)C(C)=CC2(CC1(C)C(F)(F)F)OC(C)C(C)O2)(CCCC)CCCC
Retro190_target_90,CC(C)(C)OC(=O)NC1c2cccnc2C(O)CCC1c1cccc(F)c1F
Retro190_target_91,CC(O[Si](C)(C)C(C)(C)C)C1CC(=O)CC(C)(C)N1
Retro190_target_92,CC1=NC2(N=C1N)c1cc(-c3cc(F)cc(C#N)c3)ccc1CCC21CC1
Retro190_target_93,CC(C)(C)OC(=O)NC1(c2nc(NCc3ccccn3)c3c(Cl)ccn3n2)CC1
Retro190_target_94,CC(=O)c1ccc2c(c1)C=CC(O)(CO)CO2
Retro190_target_95,COCC(C)COCc1ccc(C2(O)CCNCC2c2noc(-c3ccccc3CCNC(C)=O)c2Br)cc1
Retro190_target_96,CC(=O)NCC1CCC(C(=O)Nc2cccc(OC(F)(F)F)c2)N1C(=O)OCc1ccccc1
Retro190_target_97,COC(=O)C(C)(C)CC(CCCCO)CCCc1cccnc1
Retro190_target_98,CCCCCCC(C)(C)c1ccc(C2CC(O)CCN2C=O)c(OCc2ccccc2)c1
Retro190_target_99,COC(=O)C12CC1C=CCCCCCC(NC(=O)CC1CC1)C(=O)N1CC(Oc3nc(-c4ccccn4)nc4ccsc34)CC1C(=O)N2
Retro190_target_100,CC1(C)OCC(C)(CO)N(Cc2ccccc2)C1=O
Retro190_target_101,COC(=O)CC12CCC(c3ccc(-c4ccc(NC(=O)c5nc(C)oc5C(F)(F)F)cc4)cc3)(CC1)CO2
Retro190_target_102,COCCCc1cc(CN(C(=O)C2CN(C(=O)OC(C)(C)C)CCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCC(C)(C)C(=O)OC)c1
Retro190_target_103,COc1ccc(CC(CC(O[Si](C)(C)C(C)(C)C)C(CC2CCCCC2)NC(=O)OC(C)(C)C)C(=O)O)c(OC)c1OC
Retro190_target_104,CC(=O)N1c2ccc(N3CCNCC3)cc2C(Nc2ccccc2)C(C)C1C
Retro190_target_105,CC1(C)OCC(C)(C=O)N(Cc2ccccc2)C1=O
Retro190_target_106,CNC(=O)c1ccc2ncc(C(=O)OCn3ccnc3)c(Nc3ccc(OC)cc3)c2c1
Retro190_target_107,CCCCCN1C(=O)C2(CNC(=O)c3cc4c(cc32)OCO4)c2ccccc21
Retro190_target_108,CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1
Retro190_target_109,COCC1=CSC2C(NC(=O)Cc3cccs3)C(=O)N2C1C(=O)O
Retro190_target_110,CC(O)c1nc2cnc3ccsc3c2n1C1CCC(CO)CC1
Retro190_target_111,CC1(C)OCC(C)(CO[Si](C)(C)C(C)(C)C)N(Cc2ccccc2)C1=O
Retro190_target_112,CN1CCN(c2ccc3c(c2)[nH]c2c(C(N)=O)cc(-c4cnn(C)c4)nc23)CC1
