Mol,SMILES
C1,COc4ccc3nc(NC(=O)CSc2nnc(c1ccccc1C)[nH]2)sc3c4
C2,OC8Cc7c(O)c(C2C(O)C(c1ccc(O)c(O)c1)Oc3cc(O)ccc23)c(O)c(C5C(O)C(c4ccc(O)c(O)c4)Oc6cc(O)ccc56)c7OC8c9ccc(O)c(O)c9
C3,NC(=O)Nc1nsnc1C(=O)Nc2ccccc2
C4,C=CCn5c(=O)[nH]c(=O)c(=C4CC(c2ccc1OCOc1c2)N(c3ccccc3)N4)c5=O
C5,Oc1c(Cl)cc(Cl)cc1CNc2cccc3cn[nH]c23
C6,CC(C)C(C)C=CC(C)C1CCC3C1(C)CCC4C2(C)CCC(O)CC25CCC34OO5
C7,CC45CC(O)C1C(CC=C2CC3(CCC12)OCCO3)C4CCC56OCCO6
C8,CCc2ccc(c1ccccc1)cc2
C9,CC5C4C(CC3C2CC=C1CC(OC(C)=O)C(O)C(O)C1(C)C2CC(O)C34C)OC56CCC(=C)CO6
C10,CSc2ncnc3cn(C1OC(CO)C(O)C1O)nc23
C11,CCc1c(C)c2cc5nc(nc4[nH]c(cc3nc(cc1[nH]2)C(=O)C3(C)CC)c(CCC(=O)OC)c4C)C(C)(O)C5(O)CCC(=O)OC
C12,CN(COC(C)=O)c1nc(N(C)COC(C)=O)nc(N(C)COC(C)=O)n1
C13,CSc2ccc(OCC(=O)Nc1ccc(C(C)C)cc1)cc2
C14,Cc2ccc(C(=O)Nc1ccccc1)cc2
C15,CC5CC(C)C(O)(CC4CC3OC2(CCC1(OC(C=CCCC(O)=O)CC=C1)O2)C(C)CC3O4)OC5C(Br)=C
C16,COc8ccc(C27C(CC1C5C(CC=C1C2c3cc(OC)ccc3O)C(=O)N(c4cccc(C(O)=O)c4)C5=O)C(=O)N(Nc6ccc(Cl)cc6Cl)C7=O)cc8
C17,CC=CC(O)CC=CCC(C)C(O)CC(=O)NCC(O)C(C)C(=O)NCCCC2OC1(CCCC(CCC(CC=C(C)C(C)O)O1)CCC2C
C18,CCC(C)=CC(=O)OC1C(C)CC3OC1(O)C(O)C2(C)CCC(O2)C(C)(C)C=CC(C)C3=O
C19,CCC(CO)NC(=O)c2cccc(S(=O)(=O)N1CCCCCC1)c2
C20,CCCCCC1OC(=O)CCCCCCCCC=CC1=O
C21,COc1ccc(Cl)cc1
C22,CC(C)(C)C(Br)C(=O)NC(C)(C)C1CCC(C)(NC(=O)C(Br)C(C)(C)C)CC1
C23,COc2cc(CNc1ccccc1)ccc2OCC(=O)Nc3ccc(Cl)cc3
C24,COC4C=C(C)CC(C=CC=CC#CC1CC1Cl)OC(=O)CC3(O)CC(OC2OC(C)C(O)C(C)(O)C2OC)C(C)C(O3)C4C
C25,CCc2ccc(OC(=O)c1ccccc1Cl)cc2
C26,COc1ccccc1c2ccccc2
C27,CCCC(NC(=O)C1CC2CN1C(=O)C(C(C)(C)C)NC(=O)Cc3cccc (OCCCO2)c3)C(=O)C(=O)NCC(=O)NC(C(O)=O)c4ccc(NS(N)(=O)=O)cc4
C28,COC4C(O)C(C)OC(OCC3C=CC=CC(=O)C(C)CC(C) C(OC2OC(C)CC1(OC(=O)OC1C)C2O)C(C)C=CC(=O)OC3C)C4OC
C29,CC(C)(C)c4ccc(C(=O)Nc3nc2C(CC(=O)NCC#C)C1(C)CCC(O)C(C)(CO)C1Cc2s3)cc4
C30,CCC7(C4OC(C3OC2(COC(c1ccc(OC)cc1)O2)C(C)CC3C)CC4C) CCC(C6(C)CCC5(CC(OCC=C)C(C)C(C(C)C(OC)C(C)C(O)=O)O5)O6)O7
C31,O=C(OCc1ccccc1)c2ccccc2
C32,CC(C)CC(NC(=O)C(CC(=O)NC2OC(CO)C(OC1OC(CO)C(O)C(O)C1NC(C)=O)C(O)C2NC(C)=O)NC(=O)c3ccccc3)C(=O)NC(C(C)O)C(N)=O
C33,CCCC5OC(=O)C(C)C(=O)C(C)C(OC1OC(C)CC(N(C)C)C1O)C(C)(OCC=Cc3cnc2ccc(OC)cc2c3)CC(C)C4=NCCN6C(C4C)C5(C)OC6=O
C34,COC(=O)c1ccccc1NC(=O)CC(c2ccccc2)c3ccccc3
C35,Cc4onc5c1ncc(Cl)cc1n(C3CCCC(CNC(=O)OCc2ccccc2)C3)c(=O)c45
C36,CC(C)OCCCNC(=O)c3cc2c(=O)n(C)c1ccccc1c2n3C
C37,COC(=O)N4CCCC(N3CCC(n1c(=O)n(S(C)(=O)=O)c2ccccc12)CC3)C4
C38,Cc5c(C=NN3C(=O)C2C1CC(C=C1)C2C3=O)c4ccccc4n5Cc6ccc(N(=O)=O)cc6
C39,CCC5OC(=O)C(C)C(=O)C(C)C(OC1OC(C)CC(N(C)C)C1O)C(C)(OCC#Cc4cc(c3ccc2ccccc2n3)no4)CC(C)C(=O)C(C)C6NC(=O)OC56C
C40,CC(=O)Nc1ccccc1NC(=O)COc2ccccc2
A0,COC(=O)c1cccc2c(C(=O)OC(C)C)c(nn12)c3cccc(Cl)c3
A1,CCOC(=O)C1=C(C)N(C)C(=O)NC1c2ccncc2
A2,Cn1c(nc2ccccc12)c3ncc(cc3N4CCCC4=O)c5ccccc5
A3,CC1(COc2ccccc2)CCN1C(=O)c3ccccc3
A4,Cc1cc(nn1CC(=O)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5OCC#C)C(F)(F)F
A5,CCC1(CC1)c2ccc(C)cc2CN(C3CC3)C(=O)c4c(F)n(C)nc4C(F)F
A6,CC1CCC(CN1C(=O)c2ccnc(NS(=O)(=O)c3cccc(Cl)c3)n2)c4cncc(c4)c5cnn(c5)C(=O)C
A7,Cc1cccc(C)c1c2csc(n2)C(=O)NCCC3=CC(=CC(=O)N3)Oc4ccccc4Cl
A8,COc1ccc(cc1)N2CC(CC2C(=O)NCc3ccc4CCCCc4n3)NCC(F)(F)F
A9,FC(F)(F)Oc1cc(Cl)cc(c1)n2cnc3ccc(cc23)S(=O)(=O)NC4COC4
A10,COc1cc2c3CC(NC(=O)C)C(Oc3ccc2cc1C#N)c4ccc(F)c(F)c4
A11,FC(F)(F)c1ccc(Nc2ncc(C(=O)NCC3CCC(F)(F)CC3)c(n2)C(F)(F)F)c(Cl)c1
A12,Fc1cnc(Nc2ccc(cc2)C(=O)N3CCN(CC3)C4COC4)nc1c5cnc(n5C6CCCCC6)C(F)(F)F
A13,Cc1ccc(C2=NC(O)C(=O)Nc3cc(C)c(Cl)cc23)c(Cl)c1
A14,CC1(C)CN(C(C(=O)NC2CCCCC2)c3cccc(c3)C(F)(F)F)C(=O)C1
A15,CC(=O)Nc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C3CCN(C3)c4ccccc4
A16,Cc1cnc(C(=O)O)c(OC(F)F)c1
A17,FC(F)(F)c1nnc2CNCCn12
A18,CNCCC(Oc1cccc2ncncc12)c3cncs3
A19,FC(F)(F)c1nnc2CN(CCn12)c3cccc(I)c3
