name,smiles
propionaldehyde,CCC=O
cyclohexanol,OC1CCCCC1
ethyne,C#C
ascorbic_acid,O=C1OC(C(O)CO)C(O)=C1O
citric_acid,O=C(O)CC(O)(CC(=O)O)C(=O)O
2_methyl_1_propanol,CC(C)CO
glutaric_acid,C(CC(=O)O)CC(=O)O
camphene,CC1(C2CCC(C2)C1=C)C
maleate,O=C(O)C=CC(O)=O
acrylic_acid,C=CC(=O)O
methyl_acetate,CC(=O)OC
ethanal,CC=O
6_hexanolide,O=C1CCCCCO1
2_methylbutyraldehyde,CCC(C)C=O
propene,CC=C
d_gluconate,O=C(O)C(O)C(O)C(O)C(O)CO
propenenitrile,C=CC#N
geranic_acid,CC(C)=CCCC(C)=CC(O)=O
caprylic_acid,CCCCCCCC(=O)O
2_propanol,CC(C)O
12_ethanediol,OCCO
butanoic_acid,CCCC(=O)O
2_butenoic_acid,CC=CC(=O)O
acetic_acid,CC(=O)O
propanoic_acid,CCC(=O)O
nn_dimethylamide,CN(C)C=O
glyoxylate,C(=O)C(=O)O
1_amino_2_propanol,CC(CN)O
stearate,CCCCCCCCCCCCCCCCCC(O)=O
hexadecanoate,CCCCCCCCCCCCCCCC(O)=O
2_propenamide,C=CC(=O)N
beta_mycrene,CC(=CCCC(=C)C=C)C
cyclohexanamine,C1CCC(CC1)N
adipic_acid,C(CCC(=O)O)CC(=O)O
l_menthol,CC1CCC(C(C1)O)C(C)C
limonene,C=C(C)C1CC=C(C)CC1
gluconic_lactone,C(C1C(C(C(C(=O)O1)O)O)O)O
linalool,CC(C)=CCCC(C=C)(O)C
acetylacetone,CC(=O)CC(C)=O
succinic_acid,C(CC(=O)O)C(=O)O
dodecanoate,CCCCCCCCCCCC(O)=O
oxalic_acid,C(=O)(C(=O)O)O
2_dehydro_d_gluconate,O=C(C(O)=O)C(O)C(O)C(O)CO
propanol,CCCO
prenyl_alcohol,CC(=CCO)C
methyl_methacrylate,CC(=C)C(=O)OC
ch3n,CN(C)C
ethyl_methyl_ketone,CCC(=O)C
z_octadec_9_enoic_acid,CCCCCCCCC=CCCCCCCCC(=O)O
itaconic_acid,C=C(CC(=O)O)C(=O)O
ch32nh,CNC
oxaldehyde,C(=O)C=O
fumaric_acid,C(=CC(=O)O)C(=O)O
alpha_pinene,CC1=CCC2CC1C2(C)C
butyraldehyde,CCCC=O
isoprene,CC(=C)C=C
trolamine,C(CO)N(CCO)CCO
glycolic_acid,C(C(=O)O)O
3_methylbut_2_enal,CC(=CC=O)C
aminoethanol,NCCO
hexadecanol,CCCCCCCCCCCCCCCCO
cane_sugar,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
acetone,CC(=O)C
ethanol,CCO
12_propanediol,CC(CO)O
alphahydroxyisobutyronitrile,CC(C)(C#N)O
oleyl_amide,CCCCCCCCC=CCCCCCCCC(=O)N
d_mannitol,OCC(O)C(O)C(O)C(O)CO
lineolic_acid,CCCCCC=CCC=CCCCCCCCC(O)=O
decanoate,CCCCCCCCCC(O)=O
tetradecanoate,CCCCCCCCCCCCCC(O)=O
glycerin,C(C(CO)O)O
cyclohexanone,C1CCC(=O)CC1
cyclohexane,C1CCCCC1
butanol,CCCCO
hexanol,CCCCCCO
malic_acid,C(C(C(=O)O)O)C(=O)O
ethanamine,CCN
d_fructose,C1C(C(C(C(O1)(CO)O)O)O)O
cyclopentanone,C1CCC(=O)C1
isobutyric_acid,CC(C)C(=O)O
caprolactam,C1CCC(=O)NCC1
ethylene_oxide,C1CO1
diethanolamine,C(CO)NCCO
dimethyl_ether,COC
