Object ID,SMILES
INDOLE-3-GLYCEROL-P,O=P(O)(O)OCC(O)C(O)c1c[nH]c2ccccc12
FARNESYL-PP,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O
CPD-13357,CC(C)(O)C(O)C(=O)O
2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE,CC(C)C(C(=O)O)C(O)C(=O)O
CPD-7100,CC(C)C(C(=O)O)C(=O)C(=O)O
3-CARBOXY-3-HYDROXY-ISOCAPROATE,CC(C)C(O)(CC(=O)O)C(=O)O
CPD-15056,CC=C(N)C(=O)O
3OH-4P-OH-ALPHA-KETOBUTYRATE,O=C(O)C(=O)C(O)COP(=O)(O)O
2-KETO-3-METHYL-VALERATE,CCC(C)C(=O)C(=O)O
DIHYDROPTERIN-CH2OH-PP,Nc1nc2c(c(=O)[nH]1)N=C(COP(=O)(O)OP(=O)(O)O)CN2
DIAMINONONANOATE,CC(N)C(N)CCCCCC(=O)O
8-AMINO-7-OXONONANOATE,CC(N)C(=O)CCCCCC(=O)O
1-KETO-2-METHYLVALERATE,CCC(C)(O)C(O)C(=O)O
4-P-PANTOTHENATE,CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)O
D-LACTATE,CC(O)C(=O)O
L-PANTOATE,CC(C)(CO)C(O)C(=O)O
PANTOTHENATE,CC(C)(CO)C(O)C(=O)NCCC(=O)O
S-LACTOYL-GLUTATHIONE,CC(O)C(=O)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O
Linalools,C=CC(C)(O)CCC=C(C)C
RS-Malate,O=C(O)CC(O)C(=O)O
CPD-11803,O=C(O)C(CS(=O)(=O)O)OP(=O)(O)O
L-DELTA1-PYRROLINE_5-CARBOXYLATE,O=C(O)C1CCC=N1
2-ACETO-2-HYDROXY-BUTYRATE,CCC(O)(C(C)=O)C(=O)O
2-ACETO-LACTATE,CC(=O)C(C)(O)C(=O)O
DI-H-OROTATE,O=C1CC(C(=O)O)NC(=O)N1
CARBOXYPHENYLAMINO-DEOXYRIBULOSE-P,O=C(O)c1ccccc1NCC(=O)C(O)C(O)COP(=O)(O)O
DIHYDROXY-BUTANONE-P,CC(=O)C(O)COP(=O)(O)O
3-Hydroxy-11-cis-retinal,CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=O
23-Diaminopropanoate,NCC(N)C(=O)O
2-3-dihydroxypropane-1-sulfonate,O=S(=O)(O)CC(O)CO
23-DIPHOSPHOGLYCERATE,O=C(O)C(COP(=O)(O)O)OP(=O)(O)O
DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR,Nc1nc(NC2OC(COP(=O)(O)O)C(O)C2O)c(N)c(=O)[nH]1
CPD-20332,NC(CCCC(N)C(=O)O)C(=O)O
CPD-13576,Cc1nc(C(=O)O)sc1CCOP(=O)(O)O
5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE,N=C(CNC=O)NC1OC(COP(=O)(O)O)C(O)C1O
2-AMINOACRYLATE,C=C(N)C(=O)O
2-DEHYDROPANTOATE,CC(C)(CO)C(=O)C(=O)O
2-DEOXYRIBOSE,O=CCC(O)C(O)CO
DEOXY-RIBOSE-5P,O=P(O)(O)OCC1OC(O)CC1O
2-HYDROXYGLUTARIC_ACID,O=C(O)CCC(O)C(=O)O
CPD-16013,CCC(=N)C(=O)O
CPD-16015,CC(=N)C(=O)O
CPD-9451,CC(C)C(=CC(=O)O)C(=O)O
CPD-7076,CCC(C)C(=O)O
CPD-11797,CC(OS(=O)(=O)O)C(=O)O
PHENYL-PYRUVATE,O=C(O)C(=O)Cc1ccccc1
2-OXOBUTANOATE,CCC(=O)C(=O)O
2-KETOGLUTARATE,O=C(O)CCC(=O)C(=O)O
2-PG,O=C(O)C(CO)OP(=O)(O)O
CPD-13575,CC1=NC(C(=O)O)SC1=CCOP(=O)(O)O
P-HYDROXY-PHENYLPYRUVATE,O=C(O)C(=O)Cc1ccc(O)cc1
IMIDAZOLE-ACETOL-P,O=C(COP(=O)(O)O)Cc1c[nH]cn1
DEHYDROQUINATE,O=C1CC(O)(C(=O)O)CC(O)C1O
3-DEHYDRO-SHIKIMATE,O=C(O)C1=CC(=O)C(O)C(O)C1
3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P,O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O
CPD-10734,O=C(O)C1(O)CC(O)C(O)C(C(O)C(O)CO)O1
3-HYDROXY-BUTYRATE,CC(O)CC(=O)O
2-KETO-ISOVALERATE,CC(C)C(=O)C(=O)O
DELTA3-ISOPENTENYL-PP,C=C(C)CCOP(=O)(O)OP(=O)(O)O
MALONATE-S-ALD,O=CCC(=O)O
G3P,O=C(O)C(O)COP(=O)(O)O
DPG,O=C(OP(=O)(O)O)C(O)COP(=O)(O)O
3-P-HYDROXYPYRUVATE,O=C(O)C(=O)COP(=O)(O)O
3-P-SERINE,NC(COP(=O)(O)O)C(=O)O
RS-3-Sulfolactate,O=C(O)C(O)CS(=O)(=O)O
PANTETHEINE-P,CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS
CPD-5662,O=C(O)CCCCCC1NC(=O)NC1CS
AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP,Cc1ncc(COP(=O)(O)OP(=O)(O)O)c(N)n1
AMINO-HYDROXYMETHYL-METHYL-PYR-P,Cc1ncc(COP(=O)(O)O)c(N)n1
4-AMINO-4-DEOXYCHORISMATE,C=C(OC1C=C(C(=O)O)C=CC1N)C(=O)O
P-AMINO-BENZOATE,Nc1ccc(C(=O)O)cc1
2K-4CH3-PENTANOATE,CC(C)CC(=O)C(=O)O
THZ-P,Cc1ncsc1CCOP(=O)(O)O
P-NITROPHENOL,O=[N+]([O-])c1ccc(O)cc1
4-PHOSPHONOOXY-THREONINE,NC(C(=O)O)C(O)COP(=O)(O)O
CH33ADO,CC1OC(n2cnc3c(N)ncnc32)C(O)C1O
TETRA-H-BIOPTERIN,CC(O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1
5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE,Nc1cncn1C1OC(COP(=O)(O)O)C(O)C1O
AICAR,NC(=O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1N
PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE,Nc1c(C(=O)O)ncn1C1OC(COP(=O)(O)O)C(O)C1O
CPD-1086,Nc1c(NCC(O)C(O)C(O)COP(=O)(O)O)[nH]c(=O)[nH]c1=O
AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE,Nc1c(NCC(O)C(O)C(O)CO)[nH]c(=O)[nH]c1=O
5-AMINO-LEVULINATE,NCC(=O)CCC(=O)O
3-ENOLPYRUVYL-SHIKIMATE-5P,C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O
5-HYDROXY-L-LYSINE,NCC(O)CCC(N)C(=O)O
5-OXOPROLINE,O=C1CCC(C(=O)O)N1
PRPP,O=P(O)(O)OCC1OC(OP(=O)(O)OP(=O)(O)O)C(O)C1O
5-P-BETA-D-RIBOSYL-AMINE,NC1OC(COP(=O)(O)O)C(O)C1O
DIMETHYL-D-RIBITYL-LUMAZINE,Cc1nc2c(=O)[nH]c(=O)nc-2n(CC(O)C(O)C(O)CO)c1C
AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE,Nc1nc2c(c(=O)[nH]1)N=C(CO)CN2
CPD-11770,Nc1nc2c(c(=O)[nH]1)N=C(C(O)C(O)CO)CN2
DIHYDRONEOPTERIN-P,Nc1nc2c(c(=O)[nH]1)N=C(C(O)C(O)COP(=O)(O)O)CN2
7-8-DIHYDROPTEROATE,Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)O)cc1)CN2
