,Name,SMARTS
0,Hydrogenation of Alkene,[C+0:1]=[C+0:2].[H][H]>>[*:1][*:2]
1,Oxidative Cleavage of Alkenes,[C+0:1]=!@[C+0:2].[O+0:4]=[O+0:5]>>[*:1]=[*:4].[*:2]=[*:5]
2,"Oxidative Cleavage of Alkenes, Intramolecular",[C+0:1]=@[C+0:2].[O+0:4]=[O+0:5]>>([*:1]=[*:4].[*:2]=[*:5])
3,Olefin Cross Metathesis (CM),[C+0:1]=!@[C+0:2].[C+0:3]=!@[C+0:4]>>[*:1]=[*:3].[*:2]=[*:4]
4,Olefin Ring-Opening Metathesis (ROM) 1,[C+0:1]=@[C+0:2].[C+0:3]=!@[C+0:4]>>([*:1]=[*:3].[*:2]=[*:4])
5,Olefin Ring-Opening Metathesis (ROM) 2,[C+0:1]=@[C+0:2].[C+0:3]=!@[C+0:4]>>([*:1]=[*:3].[*:2]=[*:3]).([*:1]=[*:4].[*:2]=[*:4])
6,Olefin Ring-Closing Metathesis (RCM),([C+0:1]=!@[C+0:3].[C+0:2]=!@[C+0:4])>>[*:1]=[*:2].[*:3]=[*:4]
7,Reductive Cross-Coupling of Alkenes,[C+0:1]=[C+0:2].[C+0:3]=[C+0:4].[H][H]>>[*:1][*:2][*:3][*:4]
8,Epoxidation of Alkene,[C+0:1]=[C+0:2].[O+0:3]=[O+0]>>[*:1]1[*:2][*:3]1
9,"Hydration of Alkene, Ethers from Addition of Alcohols to Alkenes",[C+0:1]=[C+0:2].[O+0!H0;!$(*-C=O):3]>>[*:1][*:2][*:3]
10,"Ethers from Addition of Alcohols to Alkenes, Intramolecular",([C+0:1]=[C+0:2].[O+0H:3][C!$(*=O)+0:4])>>[*:1][*:2][*:3][*:4]
11,Hydrohalogenation of Alkenes,"[C+0:1]=[C+0:2].[F,Cl,Br,I;+0H:3]>>[*:1][*:2][*:3]"
12,Halogenation of Alkenes,"[C+0:1]=[C+0:2].[F,Cl,Br,I;+0:3][F,Cl,Br,I;+0:4]>>[*:1]([*:3])[*:2][*:4]"
13,Diels-Alder Reaction with Alkenes,[C+0:1]=[C+0:2][C+0:3]=[C+0:4].[C+0:5]=[C+0:6]>>[*:1]1[*:2]=[*:3][*:4][*:6][*:5]1
14,"Diels-Alder Reaction with Alkenes, Intramolecular",([C+0:1]=[C+0:2][C+0:3]=[C+0:4].[C+0:5]=[C+0:6])>>[*:1]1[*:2]=[*:3][*:4][*:6][*:5]1
15,Diels-Alder Reaction with Alkynes,[C+0:1]=[C+0:2][C+0:3]=[C+0:4].[C+0:5]#[C+0:6]>>[*:1]1[*:2]=[*:3][*:4][*:6]=[*:5]1
16,"Diels-Alder Reaction with Alkynes, Intramolecular",([C+0:1]=[C+0:2][C+0:3]=[C+0:4].[C+0:5]#[C+0:6])>>[*:1]1[*:2]=[*:3][*:4][*:6]=[*:5]1
17,Halohydrin Formation,"[C+0:1]=[C+0:2].[F,Cl,Br,I;+0:3][F,Cl,Br,I;+0:4].[O+0H2:5]>>[*:1]([*:5])[*:2][*:3].[*:4]"
18,Diol Formation by Oxidation,[C+0:1]=[C+0:2].[O+0:3]=[O+0].[O+0H2:4]>>[*:1]([*:3])[*:2][*:4]
19,"Conjugated Dienes 1,4 Addition with Hydrogen Halide","[C+0:1]=[C+0:2][C+0:3]=[C+0:4].[F,Cl,Br,I;+0H:5]>>[*:5][*:1][*:2]=[*:3][*:4]"
20,"Conjugated Dienes 1,4 Addition with Halogens","[C+0:1]=[C+0:2][C+0:3]=[C+0:4].[F,Cl,Br,I;+0:5][F,Cl,Br,I;+0:6]>>[*:5][*:1][*:2]=[*:3][*:4][*:6]"
21,"Claisen Rearrangement, Cope Rearrangements","[C+0:1]=[C+0:2][O,C;+0:3][C+0:4][C+0:5]=[C+0:6]>>[*:3]=[*:2][*:1][*:6][*:5]=[*:4]"
22,Aromatic Claisen Rearrangement 1,[c+0H:1]1:[c+0:2]:[c+0:3]:[c+0:4]:[c+0:5]:[c+0:6]:1-[O+0:7][C+0:8][C+0:9]=[C+0:10]>>[*:1]1([*:10][*:9]=[*:8]):[*:2]:[*:3]:[*:4]:[*:5]:[*:6]:1-[*:7]
23,Aromatic Claisen Rearrangement with Ortho Substituents,[c+0H0:1]1:[c+0:2]:[c+0:3]:[c+0:4]:[c+0H0:5]:[c+0:6]:1-[O+0:7][C+0:8][C+0:9]=[C+0:10]>>[*:1]1:[*:2]:[*:3]([*:8][*:9]=[*:10]):[*:4]:[*:5]:[*:6]:1-[*:7]
24,"Tsuji–Trost Reaction, Nu = Active Methylenes","[C+0:1]=[C+0:2][C+0;!$(*[OH]);!$(*=O):3]-!@[F,Cl,Br,I,O$(*C=O);+0:4].[C+0:5](=[O+0:6])[C+0!H0:7][C+0:8]=[O+0:9]>>[*:1]=[*:2][*:3][*:7]([*:5]=[*:6])[*:8]=[*:9].[*:4]"
